episode,score,avg_score
1,-482.1938961126264,
2,-185.37889875684843,
3,-68.92078293096242,
4,-296.5761367971028,
5,-190.45402868138362,
6,-177.0071144257526,
7,-339.0142683106434,
8,-356.8684411393655,
9,-256.3384688112634,
10,-30.977571378033687,
11,-232.3235514700517,
12,-93.8759712279753,
13,-195.6403905796039,
14,-110.67841008174139,
15,-39.33060496540766,
16,-230.42870660688354,
17,-74.00136551427907,
18,-72.13419344411182,
19,-221.84539706932202,
20,-204.21902425467647,
21,-283.75344038501225,
22,-142.9283917137805,
23,-74.37382126855135,
24,-212.01865510574078,
25,-295.11882473296805,
26,-61.281038663839425,
27,-100.68707259995442,
28,-425.39772091540124,
29,-236.39864540252853,
30,-166.68314486410327,
31,-64.23625591540154,
32,-101.24739927678877,
33,-254.96097008418457,
34,-235.18192690226178,
35,-373.81174800505664,
36,-128.16234621505396,
37,-137.86102164632683,
38,-260.6004979938067,
39,-184.8840014992047,
40,-88.77804368371942,
41,-254.47643544875973,
42,-222.65387364193685,
43,-89.26329406523381,
44,-309.6787744089782,
45,-198.54624836058937,
46,-200.8469016640875,
47,-265.49734580034084,
48,-221.3772727999164,
49,-85.03396478865872,
50,-222.2058272578926,
51,-248.42082911268153,
52,-111.80622839004454,
53,-175.5221687862031,
54,-7.144686221155737,
55,-225.4518761186058,
56,-108.0722941704501,
57,-68.80844970227778,
58,-273.30559387211156,
59,-220.43662663878052,
60,-216.63209316282922,
61,-120.95177110972166,
62,-225.337576311242,
63,-140.63671290998565,
64,-133.52972155551367,
65,-54.47315417330046,
66,-142.2940996979696,
67,-56.00163102110943,
68,-152.69542100173118,
69,-281.04609484640395,
70,1.7667179213859754,
71,-123.51977645865718,
72,-111.04892181597138,
73,-156.3622270058952,
74,-224.18580061068906,
75,-271.0069665429568,
76,-129.91399039249413,
77,-52.42095789780789,
78,-455.9604777742494,
79,-141.62680653763482,
80,-77.35051562974304,
81,-102.89851849450304,
82,-52.276120869617074,
83,-328.31495362246153,
84,-89.62229271874355,
85,-137.5616038949504,
86,-407.206990425992,
87,-132.0453516786983,
88,-151.53269995451387,
89,-368.8468659275118,
90,-149.36748187437306,
91,-71.60375952731079,
92,-181.37869107862463,
93,-125.67725514953604,
94,-287.16498753368563,
95,-200.87388094780823,
96,-102.92478319423368,
97,-158.02808649268138,
98,-127.77839851771743,
99,-117.26642258050366,
100,-117.6351938515752,-178.70353217549984
101,-74.36839602410816,-174.62527717461464
102,-72.00821741411627,-173.49157036118734
103,-164.05308420925644,-174.4428933739703
104,-119.63016038725735,-172.67343360987178
105,-107.57588053062139,-171.84465212836417
106,-192.62391787662233,-172.0008201628729
107,-143.6121836871672,-170.04679931663813
108,-61.56659024250089,-167.09378080766953
109,-115.35509537506046,-165.68394707330745
110,-60.30791605060429,-165.97725052003318
111,-110.50434025069339,-164.75905840783958
112,-71.09128421126454,-164.53121153767245
113,-141.9331165267373,-163.9941387971438
114,-47.85734912887192,-163.3659281876151
115,-81.22396369107815,-163.7848617748718
116,-87.95609778822967,-162.36013568668528
117,-94.54637004566678,-162.56558573199916
118,-46.14796642397236,-162.30572346179778
119,-352.0807699861298,-163.60807719096584
120,-65.720288459063,-162.22308983300974
121,-64.39225939927769,-160.02947802315236
122,-84.66007237245543,-159.4467948297391
123,-222.95618132894506,-160.93261843034304
124,-91.90238243069311,-159.7314557035926
125,-98.58157442053303,-157.76608320046824
126,-24.802240259760737,-157.40129521642746
127,-143.25674967492924,-157.8269919871772
128,-183.38929052952798,-155.40690768331845
129,-76.04382814196296,-153.8033595107128
130,-251.225667787853,-154.6487847399503
131,-167.33236745936676,-155.67974585538994
132,-98.1742878835815,-155.64901474145788
133,-366.3065239229831,-156.76247027984584
134,-284.16052106394704,-157.25225622146272
135,-218.0020963793669,-155.69415970520583
136,-91.58494421964281,-155.3283856852517
137,-88.34588943745527,-154.83323436316297
138,-19.39644052040572,-152.42119378842898
139,-311.42389702908997,-153.68659274372783
140,-89.92975050383433,-153.69810981192896
141,-79.14882811813926,-151.94483373862278
142,-27.29049950911927,-149.9911999972946
143,-123.88559225934536,-150.3374229792357
144,-96.70191109947713,-148.20765434614069
145,-79.71368764520884,-147.0193287389869
146,-114.09157627179181,-146.15177548506392
147,-136.13637261304086,-144.85816575319095
148,-38.34698505034976,-143.0278628756953
149,-119.46429688482041,-143.3721661966569
150,-66.3709450437,-141.81381737451497
151,-276.967862677169,-142.09928771015984
152,-178.4197684070051,-142.76542311032946
153,-240.5819190522941,-143.41602061299037
154,-148.56606367373084,-144.83023438751613
155,-64.62830592702764,-143.22199868560037
156,-93.83810333035409,-143.07965677719938
157,-71.12994797750173,-143.10287175995163
158,-173.47033740915558,-142.10451919532207
159,-101.62238323072222,-140.91637676124148
160,-101.8549604012982,-139.7686054336262
161,-75.27859966051395,-139.3118737191341
162,-68.93638683809333,-137.7478618244026
163,-53.43711380515532,-136.8758658333543
164,-82.1760642700217,-136.3623292604994
165,-120.90082103764718,-137.02660592914287
166,-99.55192488731652,-136.59918418103632
167,-110.25605748639435,-137.14172844568918
168,-50.018196628824015,-136.1149562019601
169,-280.7161820608986,-136.11165707410504
170,-259.95917202176804,-138.72891597353657
171,-75.45659648666793,-138.2482841738167
172,-92.41524397854863,-138.06194739544244
173,-97.60796412201915,-137.4744047666037
174,-99.83120417801473,-136.23085880227694
175,-128.5901354575318,-134.8066904914227
176,-58.28899979915376,-134.09044058548932
177,-110.27134824369759,-134.66894448894823
178,-84.17634283871648,-130.95110313959287
179,-113.95568439880881,-130.6743919182046
180,-55.24806335410721,-130.45336739544825
181,-140.22856329623812,-130.82666784346557
182,-143.11689212785274,-131.73507555604795
183,-68.58342837316573,-129.13776030355498
184,-100.18317394151853,-129.24336911578274
185,-68.2009369472324,-128.54976244630558
186,-69.48892657789064,-125.17258180782457
187,-95.52797080264291,-124.807407999064
188,-101.70710801834191,-124.30915207970227
189,-62.29273158757102,-121.24361073630287
190,-118.25509578170747,-120.93248687537621
191,-81.28878360963571,-121.02933711619947
192,-126.3186544119483,-120.47873674953271
193,-164.8165230369881,-120.87012942840725
194,-19.48731295838374,-118.19335268265421
195,-90.63133179900936,-117.09092719116623
196,-182.7800901643001,-117.88948026086689
197,-55.3670036742159,-116.86286943268222
198,-75.73880210645406,-116.34247346856961
199,-73.63794030296114,-115.90618864579416
200,-42.07985321555773,-115.15063523943398
201,-96.0923001452938,-115.36787428064586
202,-128.12958368265504,-115.92908794333125
203,-105.892360075522,-115.34748070199392
204,-72.25996485226241,-114.87377874664396
205,-95.07572506437187,-114.74877719198146
206,-54.57628732430797,-113.36830088645829
207,-61.509611241027685,-112.5472751619969
208,-85.77221018317424,-112.78933136140365
209,-84.74132311969105,-112.48319363884997
210,-53.936746144709375,-112.41948193979103
211,-101.15032503676012,-112.3259417876517
212,-93.3433598369957,-112.548462543909
213,-54.78383375153034,-111.6769697161569
214,-93.5838561573839,-112.13423478644201
215,-106.41453674863433,-112.3861405170176
216,-117.7956693085239,-112.68453623222052
217,-72.41924883565194,-112.46326502012037
218,-265.09424089127776,-114.65272776479344
219,-100.34561530499306,-112.13537621798207
220,-89.32073898469852,-112.37138072323843
221,-181.88992377846938,-113.54635736703038
222,-55.23895289441569,-113.25214617224998
223,-110.07341268314022,-112.1233184857919
224,-116.45800000494677,-112.36887466153443
225,-65.88351607936642,-112.04189407812275
226,-46.36485717081343,-112.25752024723327
227,-128.08391920401587,-112.10579194252415
228,-90.24055609632751,-111.17430459819215
229,-89.83881962206391,-111.31225451299316
230,-115.97034241325235,-109.95970125924718
231,-69.34111344640094,-108.97978871911751
232,-20.19807695565457,-108.20002660983822
233,-83.46056214977416,-105.37156699210614
234,-81.2267417981516,-103.34222919944817
235,-90.29755981490572,-102.06518383380357
236,-59.73588885757855,-101.74669328018294
237,-129.17050710073426,-102.15493945681573
238,-80.47801121094726,-102.76575516372115
239,-137.17843954884287,-101.02330058891869
240,-90.29224058364193,-101.02692548971675
241,-107.99907508340102,-101.31542795936936
242,-115.746007071839,-102.19998303499655
243,-118.43739818476017,-102.1455010942507
244,-156.23426454097222,-102.74082462866564
245,-46.4663050693559,-102.40835080290712
246,-76.98025319313498,-102.03723757212055
247,-139.90131571315055,-102.07488700312165
248,-63.95591201576058,-102.33097627277576
249,-89.32676872439501,-102.0296009911715
250,-83.74412424611808,-102.20333278319568
251,-50.1992788345037,-99.93564694476903
252,-68.53668604520273,-98.836816121151
253,-56.38896935906524,-96.99488662421871
254,-117.31787156397891,-96.6824047031212
255,-80.44175541548728,-96.84053919800581
256,-89.6406734151909,-96.79856489885418
257,-134.61652620024526,-97.4334306810816
258,-71.32746527411368,-96.41200195973119
259,-50.31460891095688,-95.89892421653353
260,-82.24917799493183,-95.70286639246987
261,-45.68715393716183,-95.40695193523635
262,-12.224865203819888,-94.83983671889362
263,-30.121486016020626,-94.60668044100227
264,-67.38023048355274,-94.45872210313757
265,-57.32936150071061,-93.82300750776821
266,-69.84723419716528,-93.5259606008667
267,-72.44536577711354,-93.1478536837739
268,-73.80834582280843,-93.38575517571373
269,-61.932278278349955,-91.19791613788824
270,-67.71817395965832,-89.27550615726713
271,-36.034343430432926,-88.88128362670477
272,-104.96861269345938,-89.0068173138539
273,-75.02959737159283,-88.78103364634964
274,-47.562043519427185,-88.25834203976378
275,-102.73327019460635,-87.99977338713452
276,-9.748037533646425,-87.51436376447946
277,-51.342311124751404,-86.92507339329
278,-89.241664766437,-86.97572661256721
279,-82.59249715821512,-86.66209474016127
280,-54.12450801316867,-86.65085918675187
281,-82.11792721004525,-86.06975282588995
282,-122.42304814302378,-85.86281438604165
283,-34.82788426179444,-85.52525894492794
284,-97.59080820796413,-85.49933528759239
285,-115.20794085077696,-85.96940532662784
286,-68.37306751778252,-85.95824673602675
287,-50.17229744128738,-85.50469000241318
288,-76.16099696714325,-85.24922889190123
289,-96.93105958758608,-85.59561217190138
290,-82.10304027880727,-85.23409161687238
291,-101.71249925710288,-85.43832877334704
292,-85.69796700066253,-85.03212189923417
293,-59.48322566570981,-83.97878892552139
294,-76.87912390440476,-84.5527070349816
295,-96.94528066009605,-84.61584652359247
296,-143.96358964024068,-84.22768151835189
297,-73.16256531361103,-84.40563713474583
298,-91.90660783438908,-84.56731519202518
299,-67.35071808679979,-84.50444296986358
300,-128.5997067146004,-85.36964150485399
301,-97.25711655360311,-85.38128966893709
302,-43.469619406245506,-84.53469002617298
303,-87.20833211864874,-84.34784974660425
304,-23.629357342368507,-83.86154367150532
305,-37.84640046592839,-83.28925042552088
306,-61.18105725140348,-83.35529812479184
307,-91.40287121880209,-83.65423072456959
308,-54.00138368501378,-83.33652245958798
309,-77.43563779812769,-83.26346560637234
310,-138.53618722146288,-84.10946001713988
311,-27.531651867187932,-83.37327328544416
312,-71.45961846496293,-83.15443587172383
313,-137.2630514656277,-83.97922804886481
314,-63.44574693770902,-83.67784695666805
315,-61.04816142091633,-83.22418320339085
316,-73.3177296678835,-82.77940380698448
317,-96.54647625227352,-83.02067608115068
318,-75.7462794064058,-81.12719646630195
319,-90.89419164719293,-81.03268222972395
320,-100.72822961581618,-81.14675713603513
321,-18.489895989264227,-79.51275685814309
322,-70.14021735238055,-79.66176950272273
323,-55.20698409022374,-79.11310521679357
324,24.60615610861001,-77.70246365565801
325,-81.45032217512689,-77.8581317166156
326,-76.85657939518626,-78.16304893885933
327,-63.19415893829746,-77.51415133620216
328,-90.03481095970066,-77.51209388483589
329,-32.38828691389908,-76.93758855775424
330,-89.13358164801906,-76.6692209501019
331,-27.398489480223247,-76.24979471044013
332,-79.95246387838272,-76.8473385796674
333,-70.80518794398813,-76.72078483760954
334,-54.87203944895424,-76.45723781411758
335,-83.91514230270315,-76.39341363899555
336,-31.91162410355612,-76.11517099145533
337,-65.91597639468627,-75.48262568439485
338,-64.20321033809765,-75.31987767566636
339,-59.79251257892191,-74.54601840596715
340,-40.584170622481835,-74.04893770635553
341,-139.15432543547965,-74.36049020987632
342,-85.76938317044652,-74.0607239708624
343,-59.91480966761731,-73.47549808569096
344,-61.174005908773616,-72.52489549936897
345,-36.215511658154924,-72.42238756525697
346,-85.07831040456426,-72.50336813737127
347,-111.2436434802801,-72.21679141504256
348,-35.55147741051431,-71.9327470689901
349,-122.61855738174296,-72.26566495556357
350,-56.80442078517109,-71.99626792095411
351,-61.744289185348606,-72.11171802446255
352,-124.4642266944947,-72.67099343095548
353,-91.44605245608643,-73.02156426192569
354,-78.80305179757524,-72.63641606426165
355,-95.4936280109628,-72.7869347902164
356,-78.1547043949601,-72.6720751000141
357,-88.70649418823808,-72.21297477989404
358,-74.83842472242972,-72.2480843743772
359,-21.913589168246517,-71.96407417695009
360,-150.13894901555807,-72.64297188715634
361,-46.38850485822016,-72.64998539636693
362,-55.08724018588356,-73.07860914618756
363,-59.03244947389092,-73.36771878076627
364,-90.17512548730008,-73.59566773080374
365,-34.81782195405286,-73.37055233533717
366,-64.60831066983317,-73.31816310006384
367,-61.505869427580215,-73.20876813656851
368,-48.53455177626618,-72.95603019610309
369,-106.44004914507984,-73.40110790477038
370,-53.53513582272723,-73.25927752340108
371,-63.959592435825904,-73.538530013455
372,-119.05100526171789,-73.67935393913758
373,-55.362088217412854,-73.48267884759579
374,-22.390541343051027,-73.23096382583203
375,-26.610830627745955,-72.46973943016343
376,-33.72268766516382,-72.7094859314786
377,-29.923535608070296,-72.49529817631178
378,-62.60513484358624,-72.22893287708327
379,-43.85311003839543,-71.84153900588508
380,-116.39315594993622,-72.46422548525275
381,-42.17627038978475,-72.06480891705014
382,-115.58211069277826,-71.99639954254769
383,9.672819613934465,-71.55139250379041
384,-25.97827285403845,-70.83526715025116
385,-125.47073808591642,-70.93789512260255
386,-156.06292595713757,-71.8147937069961
387,-86.17751411432673,-72.1748458737265
388,-60.61974531827984,-72.01943335723786
389,-136.17849257969763,-72.41190768715899
390,-33.53997603522403,-71.92627704472314
391,-54.58978998488282,-71.45504995200093
392,-60.849793710567496,-71.20656821909999
393,-129.08792547935437,-71.90261521723643
394,-72.37211755897034,-71.8575451537821
395,-60.716708329456964,-71.49525943047571
396,-45.44370616010899,-70.51006059567439
397,-54.35210202702841,-70.32195596280856
398,-47.58502659845785,-69.87874015044925
399,-6.446888454600099,-69.26970185412725
400,-63.70022340186599,-68.62070702099992
401,-86.8159542828713,-68.5162953982926
402,-25.26559278136145,-68.33425513204375
403,-82.12916092411083,-68.28346342009837
404,-80.74055729338077,-68.8545754196085
405,-93.16473045063073,-69.4077587194555
406,-91.37699347065997,-69.70971808164808
407,-71.284996600733,-69.50853933546738
408,-75.37511148255726,-69.72227661344282
409,-77.46839730935716,-69.72260420855511
410,-109.82690015064297,-69.43551133784692
411,-199.78217057061073,-71.15801652488115
