episode,score,avg_score
1,-17.271218901940742,
2,-133.16123937608253,
3,-87.42432102106567,
4,-150.222697959827,
5,-122.12061156993715,
6,-85.86790867122981,
7,-188.4880068416063,
8,-488.2172665994137,
9,-222.42528350174325,
10,-263.3350153760874,
11,-508.6518325530841,
12,-101.9877024518606,
13,-85.89092301027296,
14,-153.07153486684882,
15,-255.77672431039446,
16,-233.36986686321978,
17,30.008137810938365,
18,-59.92376425015314,
19,-207.51777949966558,
20,-229.1843385145839,
21,-309.47450127436656,
22,-118.88696701218868,
23,-97.19858462730662,
24,-85.4085623489461,
25,-90.04984330655867,
26,-98.407466611854,
27,-294.16553270820003,
28,-88.17974653712685,
29,-110.94009080887167,
30,-89.73005924469103,
31,-382.80936118022373,
32,-110.3496355520132,
33,-111.11806753046818,
34,-55.287707652338206,
35,-299.3335605354787,
36,-215.16142131267114,
37,-56.09223088194858,
38,-93.75428569873966,
39,-142.07116206894938,
40,-132.92896751091138,
41,-240.42909833177322,
42,-185.62975607393543,
43,-122.37391865797616,
44,-121.49965600397738,
45,-282.99656343601805,
46,-356.9607135645829,
47,-147.37468512877996,
48,-142.34167542083173,
49,-95.68281719455193,
50,-101.79520055378804,
51,-327.0072996727589,
52,-163.45837786613248,
53,-58.11934893489271,
54,-127.99090893158184,
55,-216.2074965219494,
56,-163.3003392587259,
57,-177.79805701824867,
58,-131.47536691097855,
59,-122.39694767604496,
60,-81.71997054888952,
61,-58.07402421161967,
62,-127.42043375028078,
63,-83.65202645100867,
64,-118.10604957209952,
65,-59.21970661963877,
66,-95.6735385325657,
67,-243.60139908964854,
68,-120.07680984846708,
69,-147.6365132905554,
70,-110.69768022604562,
71,-60.12050213450649,
72,-101.02948953223441,
73,-121.00500935459799,
74,-97.63801444015866,
75,-118.23689636111423,
76,-110.47080527820619,
77,-141.47468779637572,
78,-191.0098367984583,
79,-36.36187644338705,
80,-129.9100739373942,
81,-87.36145877387507,
82,-21.068636509225797,
83,-228.18147013026712,
84,-160.75648264209383,
85,-119.53099095008596,
86,-359.58499064828396,
87,-55.4004041690615,
88,-226.8562588600677,
89,-97.8625830449637,
90,-40.586544366034175,
91,-116.35264832942046,
92,-169.1300591783899,
93,-119.12380183871828,
94,-59.82598143109293,
95,-89.27851169882007,
96,-140.96052079586082,
97,-121.39275104862408,
98,-302.05629176389715,
99,-194.7358553210553,
100,-120.4907047039498,-150.13758170310498
101,-153.1327580453375,-151.49619709453896
102,32.24747927515057,-149.84210990802666
103,-106.07707791904491,-150.0286374770064
104,-127.56750849895299,-149.80208558239764
105,-209.6262907706701,-150.67714237440498
